اسم الملف,المجلد التابع له,عدد الصفحات,حالة الملف,اللغة الأساسية,عينة من النص المستخرج
سياسة الترقيات.pdf,سياسات الموارد البشريه,4,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياس ــ ة الترقي ــ ات ❖ الفــلســفـة تهتم املجموعة بتشجيع موظفيها على تطوير مسار ا تهم ام...
سياسة التسهيلات الماليه2025.pdf,سياسات الموارد البشريه,3,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة التسهيالت املالية ❖ الفــلســفـة تحرص املجموعة على مساعدة موظفيها من خالل عدد من الت...
سياسة التعلم والتطوير.pdf,سياسات الموارد البشريه,6,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: 2 سياسة التعلم والتطوير ❖ الغرض فيييبيئة اليييسيئةالحفيييياسيئةج اليييسي ياجايييح يئةرفهمي...
سياسة التواصل الاجتماعي.pdf,سياسات الموارد البشريه,4,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: ﺳﻴـﺎﺳـﺔ اﺳـﺘﺨﺪام وﺳـﺎﺋﻞ اﻟﺘﻮاﺻـﻞ اﻻﺟﺘﻤـﺎ56 v اﻟﻔــﻠﺴــﻔـﺔ ﺗﺤ#$م ا()ﻤﻮﻋﺔ ﻣ/ﺎﻧﺔ ﻣﻮﻇﻔ45ﺎ 67 ﻣ...
سياسة التوظيف الداخلي 2026.pdf,سياسات الموارد البشريه,2,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة الت وظيف الداخلي ❖ الفــلســفـة تهدف هذه السياسة إلى تنظيم عملية التوظيف من داخل امل...
سياسة الحوافز والمكافات2025.pdf,سياسات الموارد البشريه,9,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سـياسـة الحوافـز واملكافـآت ❖ الفلســـفة تهتم املجموعة بتشجيع موظفيها ذوي األداء العالي وا...
سياسة الخصوصية.pdf,سياسات الموارد البشريه,3,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة الخصوصية ❖ الفلسفة تحرص مجموعة شركات هائل سعيد أنعم وشركاه على تعميق عالقتها باملوظف...
سياسة السفر وبدل المواصلات 2026.pdf,سياسات الموارد البشريه,8,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة ا لسفر وبدل املواصالت2026 ❖ الفلسفة يتطلب العمل أحياناً السفر خارج مقر اإلقامة الدائ...
سياسة الضمانات للموظفين 2026.pdf,سياسات الموارد البشريه,2,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة ال ضمانات للموظفين2026 ❖ الفــلســفـة ًتثق املجموعة بجميع موظفيها وتسعى إلى توثيق ال...
سياسة إنتهاء خدمات الموظفين 2026.pdf,سياسات الموارد البشريه,10,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة ا نتهاء خدمات املوظفين2026 ❖ الفــلســفـة تحرص املجموعة على أن يغادرها املوظف ون بطر...
سياسة تصنيف القوى العاملة.pdf,سياسات الموارد البشريه,7,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة تصنيف القوى العاملة ❖ الفــلســفـة تحرص املجموعة على وضع أطر تنظيمية لجميع أعمالها ب...
سياسة تنظيم أوقات العمل والإجازات 2026.pdf,سياسات الموارد البشريه,11,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة تنظيم أوقات العمل واإلجازات2026 ❖ الفــلســفـة ملا للوقت من أهمية عالية في تحقيق األ...
سياسة حقوق الانسان و إدارة شكاوى الموظفين 2026.pdf,سياسات الموارد البشريه,7,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة حقوق اإلنسان وإدارة شكاوى املوظفين ❖ الفــلســفـة ت ؤمن املجموعة بأن كل موظف ال له ح...
سياسة دعم التعليم.pdf,سياسات الموارد البشريه,4,Digital (نصي قابل للنسخ),العربية (Arabic),ﺳـﯾﺎﺳـﺔ دﻋـم اﻟﺗﻌﻠـﯾم اﻷﻛﺎدﯾﻣﻲ إقليم اليمن YEMEN REGION Email: info@hsa.com.ye www.hsayemen.com اﻟﺼﻔ...
سياسة صندوق التكافل للمساعدات الاجتماعية2025.pdf,سياسات الموارد البشريه,10,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة صنـدوق التـكافل للمسـاعدات الاجتماعية والخدمات الطبية اإلضـافية ❖ الفلســــفة تهتم ا...
سياسة نقل الموظفين 2026.pdf,سياسات الموارد البشريه,3,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: سياسة نقل املوظفين2026 ❖ الفــلســفـة ،تقتض ي طبيعة العمل في مجموعة هائل سعيد أنعم وشركاه،...
لائحة المخالفات والجزاءات.pdf,سياسات الموارد البشريه,33,Digital (نصي قابل للنسخ),العربية (Arabic),P : C: A: الئحة املخالفات والجزاءات2024 ❖ الفصل األول: .التسمية والتعاريف مــادة (1 ) : تسمى هذه الا...
